Wall time,Step,Value
1496149051.585754,1,0.5585101842880249
1496149128.968061,2,0.7551632523536682
1496149206.092239,3,0.8151224255561829
1496149283.11533,4,0.8514285683631897
1496149360.475305,5,0.8782857060432434
1496149436.621029,6,0.8974489569664001
1496149513.068189,7,0.917755126953125
1496149589.677702,8,0.9311632513999939
1496149666.592177,9,0.9438979625701904
1496149743.261403,10,0.9534081816673279
1496149819.976568,11,0.958775520324707
1496149896.68011,12,0.9655306339263916
1496149973.383558,13,0.9661836624145508
1496150049.760981,14,0.9710408449172974
1496150126.208213,15,0.9748367071151733
1496150202.85596,16,0.9760816097259521
1496150279.899019,17,0.9766122698783875
1496150356.668028,18,0.9759183526039124
1496150433.277109,19,0.9821428656578064
1496150509.411196,20,0.9804081916809082
1496150586.029691,21,0.9800816178321838
1496150662.437528,22,0.9837754964828491
1496150739.489673,23,0.9847754836082458
1496150816.367847,24,0.9848571419715881
1496150893.446923,25,0.9851224422454834
1496150970.116468,26,0.9862040877342224
1496151046.907273,27,0.9838163256645203
1496151123.901768,28,0.9869387745857239
1496151201.02583,29,0.9866938591003418
1496151277.722554,30,0.9874489903450012
1496151354.852766,31,0.9885306358337402
1496151431.95429,32,0.988244891166687
1496151509.096608,33,0.9879999756813049
1496151585.747234,34,0.9885101914405823
1496151662.51232,35,0.9898775219917297
1496151739.392603,36,0.9903265237808228
1496151816.054581,37,0.9889387488365173
1496151893.015985,38,0.9901836514472961
1496151969.695401,39,0.9909999966621399
1496152046.455584,40,0.9902856945991516
1496152123.069054,41,0.9908571243286133
1496152199.763953,42,0.9905306100845337
1496152276.380221,43,0.9906326532363892
1496152353.354542,44,0.9925714135169983
1496152430.301698,45,0.9914081692695618
1496152507.172975,46,0.9914081692695618
1496152583.872827,47,0.9920816421508789
1496152660.952347,48,0.9928163290023804
1496152737.695594,49,0.9898571372032166
1496152814.148871,50,0.99314284324646
1496152891.56408,51,0.9904897809028625
1496152968.734247,52,0.9926122426986694
1496153045.503542,53,0.9925714135169983
1496153122.065435,54,0.9928163290023804
1496153198.913353,55,0.99314284324646
1496153275.809644,56,0.9927142858505249
1496153352.497007,57,0.9931632876396179
1496153429.188618,58,0.9915510416030884
1496153506.138584,59,0.9939591884613037
1496153583.30815,60,0.994857132434845
1496153660.243159,61,0.9933061003684998
1496153737.363282,62,0.9925305843353271
1496153814.567989,63,0.9945306181907654
1496153891.820161,64,0.9942653179168701
1496153968.891525,65,0.9939183592796326
1496154045.802488,66,0.9946938753128052
1496154122.820598,67,0.9933265447616577
1496154199.249123,68,0.993591845035553
1496154275.997401,69,0.9938979744911194
1496154352.452676,70,0.9940407872200012
1496154429.717972,71,0.9942041039466858
1496154506.766286,72,0.9954285621643066
1496154583.767431,73,0.9913265109062195
1496154660.842789,74,0.9945714473724365
1496154737.835048,75,0.9961428642272949
1496154815.279851,76,0.9942448735237122
1496154892.782985,77,0.9947959184646606
1496154969.894818,78,0.9952244758605957
1496155047.399616,79,0.9939183592796326
1496155124.398619,80,0.9954285621643066
1496155201.802717,81,0.9946938753128052
1496155278.825845,82,0.9955306053161621
1496155355.810403,83,0.9943061470985413
1496155432.846275,84,0.9951224327087402
1496155510.194468,85,0.9952040910720825
1496155587.456779,86,0.995734691619873
1496155664.59934,87,0.9952040910720825
1496155741.94054,88,0.9958163499832153
1496155818.7367,89,0.9945510029792786
1496155895.716177,90,0.9959591627120972
1496155973.02532,91,0.9953265190124512
1496156050.286509,92,0.9949796199798584
1496156127.935765,93,0.9956530332565308
1496156205.060692,94,0.9965102076530457
1496156282.206167,95,0.9955918192863464
1496156359.631485,96,0.9958571195602417
1496156436.56468,97,0.9955918192863464
1496156513.971347,98,0.9950203895568848
1496156591.665997,99,0.9958571195602417
1496156669.03236,100,0.9958571195602417
