Wall time,Step,Value
1496203194.725322,1,0.9197657108306885
1496203405.294538,2,0.9820403456687927
1496203614.114162,3,0.9871613383293152
1496203822.843383,4,0.9883009791374207
1496204032.018353,5,0.9923977851867676
1496204240.920327,6,0.9924554824829102
1496204449.741081,7,0.9936528205871582
1496204658.61205,8,0.9948933720588684
1496204868.059545,9,0.9944462180137634
1496205076.884058,10,0.9963359236717224
1496205285.584642,11,0.9955569505691528
1496205494.78439,12,0.9967254400253296
1496205704.101954,13,0.9962926506996155
1496205912.937488,14,0.9968985319137573
1496206121.616074,15,0.9972591400146484
1496206330.322199,16,0.9975765347480774
1496206538.877477,17,0.9970427751541138
1496206747.731707,18,0.9973313212394714
1496206956.882965,19,0.9977640509605408
1496207165.804727,20,0.998759388923645
1496207375.160944,21,0.9970283508300781
1496207583.650854,22,0.9986872673034668
1496207792.45433,23,0.9974899888038635
1496208002.270791,24,0.9985862970352173
1496208211.288634,25,0.9982112646102905
1496208420.111458,26,0.9985862970352173
1496208628.57266,27,0.9984853267669678
1496208837.217364,28,0.9979227185249329
1496209046.935844,29,0.9988604187965393
1496209256.528949,30,0.9985430240631104
1496209467.585612,31,0.9987161159515381
1496209677.770784,32,0.9983987808227539
1496209888.464509,33,0.9990479350090027
1496210097.130545,34,0.9989902377128601
1496210306.028043,35,0.9982833862304688
1496210513.256907,36,0.9989758133888245
1496210719.675085,37,0.9989469647407532
1496210928.767092,38,0.9982689619064331
1496211138.09339,39,0.9993364214897156
1496211346.977771,40,0.9984420537948608
1496211555.434815,41,0.9989325404167175
1496211762.608652,42,0.9985862970352173
1496211970.767855,43,0.9991200566291809
1496212180.238672,44,0.9993364214897156
1496212389.246651,45,0.9990190863609314
1496212598.483063,46,0.9985285997390747
1496212807.856855,47,0.9993219971656799
1496213017.157071,48,0.9987449645996094
1496213226.191412,49,0.9995095133781433
1496213436.195769,50,0.9990623593330383
1496213645.463888,51,0.998874843120575
1496213853.809139,52,0.9996104836463928
1496214068.934394,53,0.998874843120575
1496214288.227299,54,0.9991489052772522
1496214502.215598,55,0.9994662404060364
1496214723.474766,56,0.9993652701377869
1496214935.352783,57,0.9987882375717163
1496215157.62253,58,0.9993075728416443
1496215370.6197,59,0.999033510684967
1496215586.422854,60,0.9992642998695374
1496215803.33556,61,0.9993219971656799
1496216015.451467,62,0.9991921782493591
1496216239.397464,63,0.9992642998695374
1496216446.487121,64,0.9994229674339294
1496216651.690302,65,0.9992498755455017
1496216857.826926,66,0.9990479350090027
1496217065.668348,67,0.9995095133781433
1496217273.447089,68,0.9992931485176086
1496217487.669128,69,0.9993219971656799
1496217706.298458,70,0.9996682405471802
1496217924.889658,71,0.9987882375717163
1496218147.263607,72,0.9992210268974304
1496218369.99841,73,0.9996249675750732
1496218593.083066,74,0.9991489052772522
1496218814.88603,75,0.9993075728416443
1496219036.60296,76,0.9994662404060364
1496219253.128071,77,0.9995095133781433
1496219463.364384,78,0.9993796944618225
1496219673.300989,79,0.9989181160926819
1496219883.314171,80,0.9996682405471802
1496220091.857747,81,0.9994950890541077
1496220303.988342,82,0.9992066025733948
1496220515.187161,83,0.9994229674339294
1496220725.369364,84,0.999798059463501
1496220933.923409,85,0.9996393918991089
1496221146.955315,86,0.9994229674339294
1496221357.967214,87,0.9997115135192871
1496221570.107657,88,0.9991921782493591
1496221778.32554,89,0.9992210268974304
1496221987.932261,90,0.9994373917579651
1496222197.416427,91,0.999480664730072
1496222407.299121,92,0.9998269081115723
1496222615.745271,93,0.999278724193573
1496222827.112322,94,0.999523937702179
1496223040.967474,95,0.9997403621673584
1496223256.528753,96,0.9994085431098938
1496223470.513485,97,0.9992642998695374
1496223688.997339,98,0.9993075728416443
1496223899.09527,99,0.9995672106742859
1496224108.916741,100,0.9997692108154297
