Wall time,Step,Value
1496198867.611926,1,0.9024984836578369
1496198975.772953,2,0.982790470123291
1496199088.179144,3,0.9867574572563171
1496199199.249148,4,0.9893684387207031
1496199309.379697,5,0.9918063282966614
1496199419.702776,6,0.9920516014099121
1496199531.99469,7,0.9932921528816223
1496199644.286051,8,0.9943885207176208
1496199756.528445,9,0.9960185885429382
1496199868.482669,10,0.9947347044944763
1496199980.663125,11,0.997114896774292
1496200093.571381,12,0.9957300424575806
1496200205.685207,13,0.9966100454330444
1496200317.881292,14,0.9979948401451111
1496200429.070632,15,0.9951674938201904
1496200540.593195,16,0.9987161159515381
1496200652.515931,17,0.996711015701294
1496200764.62173,18,0.9986439943313599
1496200875.502586,19,0.9966100454330444
1496200984.234685,20,0.9980525374412537
1496201095.253297,21,0.9984420537948608
1496201206.10532,22,0.9976198077201843
1496201316.442562,23,0.9982978105545044
1496201427.042766,24,0.9978073239326477
1496201537.536747,25,0.9992642998695374
1496201648.010108,26,0.9982112646102905
1496201758.634328,27,0.9979227185249329
1496201869.782424,28,0.9982401132583618
1496201980.20607,29,0.9988892674446106
1496202090.776132,30,0.9980814456939697
1496202201.468515,31,0.9988892674446106
1496202312.692778,32,0.9984709024429321
1496202423.203096,33,0.9994373917579651
1496202533.336118,34,0.997836172580719
1496202643.828968,35,0.998557448387146
1496202754.117791,36,0.9990046620368958
1496202864.659793,37,0.999523937702179
1496202979.061048,38,0.9984276294708252
1496203089.317896,39,0.9988892674446106
1496203199.324808,40,0.9988170862197876
1496203309.519378,41,0.9989036917686462
1496203417.764723,42,0.999033510684967
1496203525.767155,43,0.9985141754150391
1496203634.176984,44,0.998759388923645
1496203742.644574,45,0.9989902377128601
1496203850.906164,46,0.9992498755455017
1496203959.493067,47,0.9987305402755737
1496204067.515453,48,0.9993652701377869
1496204175.51785,49,0.999033510684967
1496204283.908268,50,0.9990046620368958
1496204392.398887,51,0.9991633296012878
1496204501.313173,52,0.998802661895752
1496204609.57634,53,0.998802661895752
1496204718.458349,54,0.9996249675750732
1496204827.50921,55,0.9991777539253235
1496204936.6695,56,0.9993508458137512
1496205045.783471,57,0.9988459944725037
1496205154.702735,58,0.9994085431098938
1496205263.401323,59,0.9992210268974304
1496205372.418682,60,0.9992354512214661
1496205481.531094,61,0.9989902377128601
1496205590.409824,62,0.9989613890647888
1496205699.507717,63,0.9998701810836792
1496205808.461516,64,0.999033510684967
1496205917.594012,65,0.9992931485176086
1496206027.030998,66,0.9990912079811096
1496206135.873269,67,0.9985141754150391
1496206244.930362,68,0.9995095133781433
1496206354.085385,69,0.9989469647407532
1496206463.105912,70,0.9991056323051453
1496206572.255571,71,0.9997259378433228
1496206681.664791,72,0.9998846054077148
1496206790.887614,73,0.9986439943313599
1496206900.119001,74,0.9998990297317505
1496207009.402915,75,0.9992066025733948
1496207118.734407,76,0.9992931485176086
1496207228.024782,77,0.9989613890647888
1496207337.315204,78,0.9990623593330383
1496207446.425108,79,0.9996393918991089
1496207555.699921,80,0.9995960593223572
1496207665.200289,81,0.9994518160820007
1496207774.243474,82,0.9993364214897156
1496207884.285171,83,0.9993508458137512
1496207993.91388,84,0.9990912079811096
1496208103.726531,85,0.9994518160820007
1496208213.040153,86,0.9992066025733948
1496208322.348653,87,0.9995816349983215
1496208431.401352,88,0.9994229674339294
1496208541.115324,89,0.9991777539253235
1496208650.636527,90,0.9995383620262146
1496208760.836134,91,0.999798059463501
1496208870.466596,92,0.9996104836463928
1496208980.033761,93,0.9992354512214661
1496209089.363145,94,0.9992642998695374
1496209199.040323,95,0.9993219971656799
1496209308.472817,96,0.9997836351394653
1496209418.079399,97,0.9994950890541077
1496209527.784373,98,0.9991344809532166
1496209637.486362,99,0.9996104836463928
1496209747.834217,100,0.9990623593330383
