Wall time,Step,Value
1496485954.367584,1,0.8916358351707458
1496486326.564583,2,0.9881296157836914
1496486698.394355,3,0.9925485253334045
1496487068.831784,4,0.9947146773338318
1496487441.00003,5,0.9934149980545044
1496487811.486868,6,0.9950467944145203
1496488183.863944,7,0.995090126991272
1496488556.24672,8,0.9959132671356201
1496488926.556768,9,0.9946857690811157
1496489299.344938,10,0.9962164759635925
1496489671.425885,11,0.9960287809371948
1496490043.174965,12,0.9959276914596558
1496490416.361583,13,0.9980216026306152
1496490788.491453,14,0.9969529509544373
1496491161.516494,15,0.9988880753517151
1496491531.948963,16,0.9951767325401306
1496491904.592382,17,0.9975306391716003
1496492277.604054,18,0.9982237815856934
1496492649.286127,19,0.9971984624862671
1496493021.827979,20,0.9984403848648071
1496493394.440824,21,0.9975594878196716
1496493766.472365,22,0.9970107674598694
1496494138.378214,23,0.9988014101982117
1496494520.182709,24,0.9984837174415588
1496494893.407489,25,0.9993357062339783
1496495261.009894,26,0.9972273707389832
1496495630.777754,27,0.9974295496940613
1496496001.661864,28,0.9992635250091553
1496496371.595506,29,0.9978771805763245
1496496740.471256,30,0.9984692931175232
1496497109.229761,31,0.999552309513092
1496497478.934833,32,0.9984837174415588
1496497850.261396,33,0.9989891648292542
1496498224.145412,34,0.9991191029548645
1496498594.922068,35,0.997617244720459
1496498968.878652,36,0.998786985874176
1496499340.865821,37,0.9987725019454956
1496499714.752898,38,0.9987725019454956
1496500091.81302,39,0.9983970522880554
1496500462.839144,40,0.9994657039642334
1496500835.494058,41,0.9992201924324036
1496501210.584398,42,0.9988735914230347
1496501583.821069,43,0.9990613460540771
1496501955.292191,44,0.998786985874176
1496502328.330454,45,0.9989024996757507
1496502701.086881,46,0.9996101260185242
1496503073.09343,47,0.9984403848648071
1496503447.798694,48,0.999407947063446
1496503822.491727,49,0.9987292289733887
1496504195.16009,50,0.999451220035553
1496504569.044317,51,0.9988735914230347
1496504943.458356,52,0.9990180134773254
1496505318.293082,53,0.9992491006851196
1496505693.943507,54,0.998931348323822
1496506066.716333,55,0.9998989105224609
1496506441.683014,56,0.9999710917472839
1496506845.522729,57,0.9984692931175232
1496507220.170037,58,0.9991912841796875
1496507591.768482,59,0.9985558986663818
1496507966.513813,60,0.9992923736572266
1496508340.964069,61,0.9990613460540771
1496508720.340765,62,0.9996823072433472
1496509095.292366,63,0.9992779493331909
1496509468.503293,64,0.9990180134773254
1496509842.777136,65,0.999306857585907
1496510219.880216,66,0.9993934631347656
1496510596.536275,67,0.999407947063446
1496510971.616794,68,0.9990902543067932
1496511343.882577,69,0.9989602565765381
1496511718.592685,70,0.9992635250091553
1496512092.522338,71,0.999552309513092
1496512469.768546,72,0.9991768598556519
1496512846.598117,73,0.9994367957115173
1496513215.091732,74,0.998786985874176
1496513590.755658,75,0.9998267292976379
1496513968.074171,76,0.9990469217300415
1496514343.405877,77,0.9995812177658081
1496514719.734164,78,0.9997544884681702
1496515096.362432,79,0.9992779493331909
1496515470.684119,80,0.9989891648292542
1496515844.982911,81,0.999552309513092
1496516219.122605,82,0.9997978210449219
1496516594.91008,83,0.999306857585907
1496516970.282463,84,0.998931348323822
1496517348.26116,85,0.9991912841796875
1496517721.66115,86,0.9997111558914185
1496518096.394185,87,0.9998989105224609
1496518470.236613,88,0.9997544884681702
1496518844.482898,89,0.9991768598556519
1496519219.319872,90,0.9996533989906311
1496519594.077576,91,0.9990613460540771
1496519968.837112,92,0.99937903881073
1496520344.001869,93,0.9998267292976379
1496520719.530972,94,0.9996389746665955
1496521096.256661,95,0.9992201924324036
1496521474.147738,96,0.9994223713874817
1496521849.523185,97,0.9992201924324036
1496522225.071197,98,0.9995812177658081
1496522599.941383,99,0.9997833967208862
1496522974.053395,100,0.999552309513092
